"docid"	"allcopiesofwork"	"author"	"authordate"	"category"	"copiesin25yrs"	"enumcron"	"firstpub"	"gender"	"genres"	"imprint"	"inferreddate"	"latestcomp"	"nationality"	"pseudonym"	"realname"	"shorttitle"	"subjects"
"mdp.39015065770755"	1	"prince de, Ligne, Charles Joseph"	"1735-1814."	"nonfic"	1			"u"	"NotFiction"	"Londres;L. Deconchy;1811."	1811	1811				"MÃ©moires du Prince EugÃ¨ne de Savoie"	"Eugene|History|1663-1736|"
"uc2.ark+=13960=t6j100k2b"	1	"Bouilly, Jean Nicolas"	"1763-1842."	"nonfic"	1			"m"		"London;Colburn;1813."	1813	1813	"fr"			"A father's advice to his daughter; or, Instructive narratives from real life"	"Young women"
"hvd.hxj2ez"	1			"nonfic"	1	"v.19  (1753-70)"			"NotFiction"	"London;printed by T.C. Ha"	1816	1816					"Great Britain|Trials (Tre"
"hvd.hxj2fv"	1			"nonfic"	1	"v.32  (1817)"		"u"	"NotFiction"	"London;printed by T.C. Ha"	1816	1816				"/ by Thomas Jones Howell"	"Great Britain|Trials (Tre"
"nyp.33433067408595"	4	"Howell, Thomas Bayly"	"1768-1815."	"nonfic"	4	"v. 32 (1817)"		"u"	"NotFiction"	"London;Longman, Hurst, Re"	1816	1815				"A complete collection of state trials and proceedings for high treason and other crimes and misdemeanors from the earliest period to the year 1783, with notes and other illustrations"	"Trials|Great Britain"
"nyp.33433074927645"	2			"nonfic"	2	"v. 11 (History of Sir Charles Grandison; part 3)"		"u"	"NotFiction"	"London;s.n.;1820."	1820	1820				"The British novelists; with an essay, and prefaces, biographical and critical"	"English literature"
"njp.32101062942113"	1	"Knox, Vicesimus"	"1752-1821,"	"nonfic"	1	"v.5"		"m"	"NotFiction"	"London;J. Sharpe;1821?"	1821	1821	"uk"			"Middle of the last century"	"English letters|Latin let"
"njp.32101063609034"	1			"nonfic"	1			"u"	"Juvenile audience|NotFict"	"New-York;Printed and publ"	1822	1822				"The book of games, or, A history on juvenile sports practised at the Kingston Academy : illustrated with twenty-four copperplates"	"Games"
"yale.39002005021796"	2			"nonfic"	2				"NotFiction"	"London;J. Murray;1823."	1823	1823				"Royal memoirs on the French revolution: Containing, I. A narrative of the journey of Louis XVI. and his family to Varennes, by Madame Royale, duchess of Angoulême. II. A narrative of a journey to Bruxelles and Coblentz in 1791, by Monsieur, now Louis XVIII. III. Private memoirs of what passed in the Temple, from the imprisonment of the royal family to the death of the Dauphin, by Madame Royale, duchess of Angoulême"	"Revolution, 1789-1799|His"
"hvd.32044013683610"	1			"nonfic"	1			"u"	"NotFiction"	"Dedham [MA;M and W. H. Ma"	1824	1824				"Statement of facts, relative to the last will of the late Mrs. Badger of Natick : which was disallowed on the final hearing"	"Badger, Sarah|d.1822"
"uc2.ark+=13960=t6736pt8t"	1	"Thurtell, John"		"nonfic"	1					"London;Kight & Lacey;1824"	1824	1824				"Pierce Egan's account of the trial of John Thurtell and Joseph Hunt"	"Weare, William|d. 1823"
"nyp.33433011493966"	2	"Ogle, Nathaniel"		"nonfic"	2				"NotFiction"	"London;Printed for G. Whi"	1825	1825				"Memoirs of monkeys, &c. &c"	"Monkeys|Anecdotes"
"mdp.39015063870219"	3	"Gillies, R. P. (Robert Pearse)"	"1788-1858."	"nonfic"	3	"v.1"			"Fiction"	"London;H. Colburn;1826."	1826	1826				"Tales of a voyager to the Arctic Ocean"	
"nyp.33433071373652"	1	"Mme., Du Hausset"	"approximately 1720-"	"nonfic"	1				"Biography|NotFiction"	"New York;Elam Bliss;1827."	1827	1827				"The private memoirs of Madame Du Hausset, lady's maid to Madame de Pompadour"	"marquise de|Pompadour, Je"
"hvd.32044108417551"	1	"Cumberland, George"	"1754-1848."	"nonfic"	1				"NotFiction"	"London;S. Prowett;1829."	1829	1829				"Outlines from the antients, exhibiting their principles of composition in figures and bassorilievos [sic], taken chiefly from inedited monuments of Greek and Roman sculpture"	
"nyp.33433069247322"	1	"Fletcher, William"		"nonfic"	1			"m"	"NotFiction"	"New York;W. B. Gilley;182"	1829	1829				"The little grammmarian; or, An easy guide to the parts of speech, and familiar illustrations of the leading rules of syntax: in a series of instructive and amusing tales"	"Grammar|English language"
"hvd.32044051078350"	1	"Warton, John"	"1770-1841."	"nonfic"	1	"v.3"		"m"	"NotFiction"	"London;J. Murray;1830."	1830	1830	"uk"			"Death-bed scenes, and pastoral conversations"	
"hvd.32044019951185"	1	"Dwight, Theodore"	"1796-1866."	"nonfic"	1		1824	"m"	"Fiction"	"New York;Printed by J. & "	1831	1831				"The northern traveller, and Northern tour;"	"Guidebooks"
"hvd.hxcp8q"	1	"Croker, Thomas Crofton"	"1798-1854,"	"nonfic"	1		1829	"m"	"NotFiction"	"London;Fisher, son, & Jac"	1831	1831	"ir"			"Killarney legends : arranged as a guide to the lakes"	"Ireland|Legends"
"nyp.33433066655733"	2	"Ritchie, Leitch"	"1800-1865."	"nonfic"	2	"v. 1-2"		"m"	"Fiction|NotFiction"	"New York;J. & J. Harper;1"	1831	1831	"uk"			"The romance of history. France"	"Fiction|History"
"nyp.33433076078595"	1			"nonfic"	1				"NotFiction"	"Boston;1833."	1833	1833				"The Olio:"	"English literature"
"nyp.33433069241317"	1	"Jr. Randall, M"		"nonfic"	1			"m"	"NotFiction"	"Stanstead, L.C.;Printed b"	1834	1834				"The Canadian reader : designed for the use of schools and families"	"Readers"
"nyp.33433008489217"	3	"Glascock, W. N. (William Nugent)"	"1787?-1847."	"nonfic"	3	"v. 1"		"u"	"NotFiction"	"London;Whittaker;1834."	1834	1834				"Naval sketch-book: or, The service afloat and ashore; with characteristic reminiscences, fragments and opinions"	"History|Great Britain|Roy"
"nyp.33433081652574"	2	"Fraser, James Baillie"	"1783-1856."	"nonfic"	2	"v.1"		"m"	"NotFiction"	"London;R. Bentley;1838."	1838	1838	"uk"			"Narrative of the residence of the Persian princes in London, in 1835 and 1836. With an account of their journey from Persia, and subsequent adventures"	"Prices|Social life and cu"
"mdp.39015012339498"	1	"Stephens, John L"	"1805-1852."	"nonfic"	1				"UnknownGenre"	"Edinburgh;W. and R. Chamb"	1839	1839				"Incidents of travel in Greece, Turkey, Russia and Poland"	"Description and travel"
"yale.39002009846560"	3	"Wilkinson, Eliza (Eliza Yonge)"		"nonfic"	1			"f"	"NotFiction"	"New York;S. Colman;1839."	1839	1839	"us"			"Letters of Eliza Wilkinson, during the invasion and possession of Charleston, S.C., by the British in the Revolutionary War"	"Revolution, 1775-1783|His"
"mdp.39015078560276"	1	"[Sutcliffe, Thomas]"	"1790?-1849."	"nonfic"	1			"u"	"NotFiction"	"Manchester [Eng.;Printed "	1839	1839				"The earthquake of Juan Fernandez, as it occurred in the year 1835"	"History|Juan Fernendez (I"
"nyp.33433066652649"	2	"Snowe, Joseph"		"nonfic"	2	"v. 2"		"u"	"NotFiction"	"London;F. C. Westley [etc"	1839	1839				"The Rhine, legends, traditions, history, from Cologne to Mainz"	"History|Rhine River Valle"
"hvd.32044090341959"	5	"Dickens, Charles"	"1812-1870."	"nonfic"	5	"v.1"		"m"	"Fiction|Historical fictio"	"London;Chapman and Hall;1"	1840	1840	"uk"			"Master Humphrey's clock"	"Fiction|Gordon Riots, 178"
"hvd.32044096989538"	2	"Ellet, E. F. (Elizabeth Fries)"	"1818-1877."	"nonfic"	2	"v.9"		"u"	"Fiction"	"Boston;Marsh, Capen, Lyon"	1840	1840				"Rambles about the country"	"Description and travel"
"nyp.33433081778312"	1	"Morleigh"		"nonfic"	1			"u"	"NotFiction"	"London;Saunders and Otley"	1842	1842				"Life in the West : back-wood leaves and prairie flowers; rough sketches on the borders of the picturesque, the sublime, and ridiculous"	"Description and travel"
"loc.ark+=13960=t5r78mh70"	1	"[Hawks, Francis Lister]"	"1798-1866"	"nonfic"	1			"m"		"New York;Harper & brother"	1844	1844	"us"		"Hawks, Francis Lister"	"History of the United States: no. I"	"History|Virginia|Colonial"
"nyp.33433069339749"	1	"M. Mignet, (Fran�ois-Auguste-Marie-Alexis)"	"1796-1884."	"nonfic"	1	"v. 1"		"m"	"NotFiction"	"Paris;Firmin Didot fr??re"	1845	1845				"Histoire de la re?volution franc?aise, depuis 1789 jusqu'en 1814;"	"1789-1815|History|Revolut"
"hvd.32044088980156"	1	"Hunt, T. P. (Thomas Poage)"	"1794-1876."	"nonfic"	1			"m"	"Fiction"	"Philadelphia;Griffith & S"	1845	1845				"The wedding days of former times"	"Temperance"
"hvd.hx2qhf"	2	"Thomas, Francis"	"1799-1876."	"nonfic"	2			"u"	"NotFiction"	"S.l.;s.n.;1845"	1845	1845				"Statement of Francis Thomas [concerning his domestic grievances]Microform"	"Thomas, Francis|1799-1876"
"nyp.33433069336737"	2	"Nicholson, Asenath"	"1792-1855"	"nonfic"	2				"NotFiction"	"New York;Baker and Scribn"	1847	1847				"Ireland's welcome to the stranger; or An excursion through Ireland, in 1844 & 1845, for the purpose of personally investigating the condition of the poor"	"Poor|Ireland|Description "
"njp.32101065104125"	1			"nonfic"	1			"u"	"NotFiction"	"London;Steill;1847"	1847	1847				"Wisdom for the age; or, Common sense for those who want it, being the experience of Magus, an eccentric philosopher who opened a school in the modern Babylon ... Term the first"	
"nyp.33433082342175"	3	"Campbell, Calder"	"1798-1857."	"nonfic"	3	"v. 3"		"m"	"NotFiction"	"London;1847."	1847	1847	"uk"			"Rough Recollections of Rambles AbroaÌ€d and at Home"	
"uc2.ark+=13960=t03x86861"	2	"Taylor, William"		"nonfic"	2			"m"		"London;T.C. Newby;Parry;B"	1847	1847	"uk"			"Life in the ranks"	"Army|Military life|Great "
"uc1.b4392661"	1	"Caturbhujami?ra"		"nonfic"	1			"u"	"NotFiction"	"Calcutta;W. Ridsdale;1848"	1848	1848	"in"			"The Prem sagur"	
"mdp.39015011948372"	2	"Ollier, Charles"	"1788-1859."	"nonfic"	2			"m"	"NotFiction"	"London;C. Ollier;1848."	1848	1848				"Fallacy of ghosts, dreams, and omens; with stories of witchcraft, life-in-death, and monomania"	"Supernatural|Occultism"
"uc1.32106006277773"	1	"Irving, Washington"	"1783-1859."	"nonfic"	1	"v.9"		"u"	"NotFiction"	"New York;Putnam;c1848-186"	1848	1848				"The works of Washington Irving in twelve volumes"	
"coo.31924002854994"	1	"Johnson, George W"		"nonfic"	1	"v.4"			"NotFiction"	"London;Published by Wm. S"	1849	1849				"The cottage gardener; or Amateur and cottager's guide to out-door gardening and spade cultivation"	"Gardening"
"uc2.ark+=13960=t7tm73t7d"	1	"Howitt, William"	"1792-1879."	"nonfic"	1			"m"		"London;H. Colburn;1850."	1850	1850	"uk"			"The year-book of the country; or, The field, the forest, and the fireside"	"Natural history|Outdoor b"
"loc.ark+=13960=t5z60t13r"	1			"nonfic"	1					"Philadelphia;Printed for "	1850	1850				"Life and adventures of Charles Anderson Chester"	"Pennsylvania|Riots|Philad"
"mdp.39015022638202"	1	"Heather, John Fry"	"d. 1886."	"nonfic"	1	"plates"			"NotFiction"	"London;J. Weale;1851."	1851	1851				"An elementary treatise on descriptive geometry"	"Geometry, Descriptive"
"nyp.33433075756100"	2	"Sealsfield, Charles"	"1793-1864."	"nonfic"	2				"NotFiction"	"Edinburgh and;London;W. B"	1852	1852				"Scenes and adventures in central America"	"Southwest, Old|Frontier a"
"uc2.ark+=13960=t45q53b1s"	3	"Knighton, W"	"d. 1900"	"nonfic"	3	"v.1"		"m"		"London;Hurst and Blackett"	1854	1854	"uk"		"Knighton, William"	"Forest life in Ceylon"	"Description and travel|Sr"
"uc2.ark+=13960=t8mc8ss07"	2			"nonfic"	2			"u"		"Boston;E. W. Hinks;1854."	1854	1854				"One link in the chain of apostolic succession"	"VI|United States|Alexande"
"wu.89094583911"	1	"Donaldson, Paschal"		"nonfic"	1				"Fiction"	"New York;Carlton & Philli"	1854	1854				"Conversations on the mythology of the ancients, or, A history of the heathen deities"	"Mythology, Classical"
"mdp.39015063602497"	1	"Warren, Samuel"	"1807-1877."	"nonfic"	1	"v.2"		"m"	"Bibliographies|NotFiction"	"Edinburgh;London;Wm. Blac"	1855	1855	"uk"			"The mystery of murder, and its defence. Modern state trials. The martyr patriots. Speculators among the stars. A few personal recollections of Christopher North"	"History|Law"
"wu.89098877509"	6	"Kinzie, John H., Mrs"	"1806-1870."	"nonfic"	5			"f"	"NotFiction"	"New York;Derby & Jackson;"	1856	1856	"us"		"Kinzie, Juliette Augusta Magill"	"Wau-bun, the early day in the North-west"	"Indians of North America|"
"uiuo.ark+=13960=t7gq77m0x"	1	"Neale, J. M"		"nonfic"	1	"Talbot Collection of British Pamphlets"				"London;Joseph Masters, Al"	1857	1857				"The Lewes Riot"	
"nyp.33433069252397"	1	"Green, Nelson Winch"		"nonfic"	1			"m"	"NotFiction"	"New York;H. Dayton;Indian"	1859	1859	"us"			"Fifteen years among the Mormons: being the narrative of Mrs. Mary Ettie V. Smith, late of Great Salt Lake City: a sister of one of the Mormon high priests"	"Mormon Church|Smith, Mary"
"nyp.33433007280138"	2	"Mayhew, Henry"	"1812-1887."	"nonfic"	2	"v. 3"		"m"	"NotFiction"	"London;Griffin, Bohn, and"	1861	1861				"The London street-folk; comprising, Street sellers. Street buyers. Street finders. Street performers. Street artizans. Street labourers.--[Extra volume] Those that will not work. Comprising, Prostitutes. Thieves. Swindlers. Beggars. By several contributors. With introductory essay on the agencies at present in operation in the metropolis for the suppression of vice and crime. By the Rev. William Tuckniss"	"London|Prostitution|Chari"
"nyp.33433075909923"	16	"Borrow, George Henry"	"1803-1881."	"nonfic"	5	"v. 3"			"Novel|Bibliographies|NotF"	"London;John Murray;1862."	1862	1862				"Wild Wales : its people, language, and scenery"	"Borrow, George Henry|Desc"
"nyp.33433067278386"	1	"Redding, Cyrus"	"1785-1870."	"nonfic"	1	"v. 1"		"m"	"NotFiction"	"London;Skeet;1863."	1863	1863	"uk"			"Memoirs of remarkable misers"	"Misers"
"pst.000062841405"	1	"Dickens, Charles"	"1812-1870."	"nonfic"	1			"u"	"NotFiction"	"New York;Books Inc.;1868?"	1868	1868				"Works : Hard times for these times, Pictures from Italy, Mrs. Lirriper's lodgings, Mrs. Lirriper's legacy"	
"nnc1.cu56443846"	1	"Moore, George Washington"	"b. 1828."	"nonfic"	1			"m"	"NotFiction"	"London;C.H. Clarke;1870"	1870	1870	"uk"			"Bones: his anecdotes and goaks"	"Minstrel shows"
"nyp.33433082371778"	1	"Orr, Lucinda (Lee)"		"nonfic"	1				"NotFiction"	"Baltimore;J. Murphy and c"	1871	1871				"Journal of a young lady of Virginia. 1782"	"Manners and customs|fast|"
"wu.89098008162"	1	"Sedgwick, Catharine Maria"	"1789-1867."	"nonfic"	1				"NotFiction"	"New York;Harper & brother"	1872	1867				"Life and letters of Catherine M. Sedgwick"	
"uva.x030808693"	1	"Brittan, Harriette G"	"1823-1897."	"nonfic"	1			"f"	"NotFiction"	"New York;T. Whittaker;c18"	1873	1873	"uk"			"Shoshie, the Hindoo Zenana teacher"	"Zenana missions"
"njp.32101066381979"	1			"nonfic"	1				"NotFiction"	"Boston;American tract soc"	1873	1873				"Homes and hospitals: or, Two phases of woman's work, as exhibited in the labors of Amy Dutton and Agnes E. Jones"	"England|1832-1868|Poor|Wo"
"nnc1.1002220156"	2	"Severance, Mark Sibley"	"1846-"	"nonfic"	2			"m"	"Fiction"	"Boston;Houghton, Mifflin "	1878	1878	"us"			"Hammersmith: his Harvard days"	
"uc2.ark+=13960=t1vd71h0r"	1	"Andersen, H. C. (Hans Christian)"	"1805-1875."	"nonfic"	1					"Boston;Houghton, Osgood a"	1880	1875				"Pictures of travel"	"Voyages and travels|Ander"
"uiuo.ark+=13960=t49p3f891"	2	"Grant, Alexander Charles"		"nonfic"	2	"v.1"				"Edinburg;William Blackwoo"	1881	1881				"Bush-life in Queensland"	"823G766B"
"mdp.39015011607697"	2	"Brown, Marshall"	"1852-"	"nonfic"	2			"u"	"NotFiction"	"Chicago;S.C. Griggs and C"	1882	1879				"Wit and humor. A choice collection"	"Wit and humor"
"uiuo.ark+=13960=t8ff3q63g"	1	"Turner, O. E"		"nonfic"	1					"Chicago;O.E. Hammond;1883"	1883	1883				"Sturla-Stiles tragedy"	"Illinois|Stiles, Charles|"
"loc.ark+=13960=t2z329j73"	2	"France, Lewis B"	"1833-1907."	"nonfic"	2			"m"	"NotFiction"	"Denver;Chain, Hardy & co."	1884	1884	"us"			"With rod and line in Colorado waters"	"Colorado|Fishing"
"wu.89062856570"	1	"Barnes Emily R. (Emily Ripley)"	"1800-"	"nonfic"	1			"u"	"History|ContainsBiogMater"	"Boston;G. H. Ellis;1888."	1888	1888				"Narratives, traditions and personal reminiiscences connected with the early history of the Bellows family, and of the village of Walpole, N.H"	"fast/NIC/NAC|fast|(OCoLC)"
"njp.32101047683477"	2	"Lansing, Jenny H. Stickney"	"1840-"	"nonfic"	2	"3rd"		"u"		"Boston;Ginn & Co.;1888-92"	1888	1888				"A first[-fifth] reader"	"Readers and speakers|1870"
"loc.ark+=13960=t31266p0b"	2	"Hunter, George"	"b. 1835."	"nonfic"	2				"NotFiction"	"Battle Creek, Mich.;Revie"	1888	1887				"Reminiscences of an old timer"	"Washington (State)|Pacifi"
"loc.ark+=13960=t6j10qn99"	1	"Laufer, Bernhardt. [from old catalog]"		"nonfic"	1			"u"		"Buffalo, N.Y.;s.n.;1889."	1889	1889				"The white indian"	
"uc1.b3239725"	1	"Ball, Thomas"	"1819-1911."	"nonfic"	1				"NotFiction"	"Boston;Roberts brothers;1"	1891	1891				"My threescore years and ten"	
"uc1.b3332046"	1	"Stevenson, Robert Louis"	"1850-1894."	"nonfic"	1	"v.3"		"m"	"NotFiction"	"Edinburgh;Printed by T. a"	1894	1894	"uk"			"Works"	
"yale.39002030972138"	1	"Trowbridge, Thomas R"		"nonfic"	1			"u"	"NotFiction"	"New Haven;Dibble & Brink;"	1895	1895				"Grandfather's voyage around the world in the ship ""Betsey"", 1799-1801"	"1781-1849|Trowbridge, Hen"
"mdp.39015009345805"	5	"of Emesa. Heliodorus"		"nonfic"	4				"Fiction|NotFiction"	"London;D. Nutt;1895."	1895	1895				"An Ã†thiopian history written in Greek by Heliodorus"	"Princesses|Fiction"
"mdp.39015031235396"	4	"Lathrop, Rose Hawthorne"	"1851-1926."	"nonfic"	4			"u"	"Biography|NotFiction"	"Boston;New York;Houghton,"	1897	1897				"Memories of Hawthorne"	"1804-1864|Hawthorne, Nath"
"uc2.ark+=13960=t95719c5p"	2	"Miller, Harriet (Mann)"	"1831-1918."	"nonfic"	2			"f"	"NotFiction"	"Boston and New York;Hough"	1897	1897	"uk"	"Miller, Olive Thorne"		"Upon the tree-tops"	"Birds"
"uc2.ark+=13960=t5m904803"	12	"Churchill, Winston, Sir"	"1871-1947."	"nonfic"	7				"Bibliographies|Fiction|No"	"New York;The Macmillan co"	1901	1901				"The crisis"	"United States|Civil War, "
"loc.ark+=13960=t0js9z72s"	3	"Woodward, R. Pitcher (Robert Pitcher)"		"nonfic"	3			"m"	"NotFiction"	"New York;I. H. Blanchard "	1902	1902				"On a donkey's hurricane deck;"	"Overland journeys to the "
"mdp.39015063077930"	2	"Allman, James"		"nonfic"	2			"u"	"NotFiction"	"Chicago;C. H. Kerr & comp"	1903	1903				"God's children; a modern allegory"	
"uc2.ark+=13960=t3bz6218s"	2	"Replogle, Charles"		"nonfic"	2			"u"		"London;Headley Brothers;1"	1904	1904				"Among the Indians of Alaska"	"Indians of North America|"
"mdp.39015014398153"	2	"Hunt, William Holman"	"1827-1910."	"nonfic"	2	"v.1"		"m"	"NotFiction"	"New York;London;The Macmi"	1905	1905	"uk"			"Pre-Raphaelitism and the pre-Raphaelite brotherhood"	"Painters|Pre-Raphaelitism"
"loc.ark+=13960=t81j9wc5b"	1	"La Baere, Cl??mence de. [from old catalog]"		"nonfic"	1			"m"		"Sacramento, Cal.;1905."	1905	1905	"fr"			"Fables and symbols"	
"uc1.31158001376481"	1	"Howard, O. O. (Oliver Otis)"	"1830-1909."	"nonfic"	1				"NotFiction"	"New York;The Century co.;"	1908	1908				"Famous Indian chiefs I have known"	"Fiction|Indians of North "
"loc.ark+=13960=t22b9ds5h"	2	"Harman, Michael Garber"		"nonfic"	2			"m"		"Richmond, Va.;Southern pu"	1909	1909	"us"			"The Arizona limited"	"United States|Walking|Des"
"mdp.39015067875818"	1	"Hereford, Robert A"	"1902-"	"nonfic"	1				"UnknownGenre"	"Caldwell, Id.;The Caxton "	1913	1913				"Old Man River, the memories of Captain Louis Rosché, pioneer steamboatman"	"RoschÃ©, Louis|1852-1937|S"
"uc2.ark+=13960=t6154hp62"	2	"Grossmith, Weedon"	"1854-1919."	"nonfic"	2			"m"		"New York;John Lane compan"	1913	1913	"uk"			"From studio to stage;"	"Great Britain|Theater|IsB"
"uc2.ark+=13960=t5h99230h"	1	"Seddon, Frederick Henry"		"nonfic"	1			"m"		"Edinburgh;London;W. Hodge"	1914	1914	"uk"		"Wallace, Edgar"	"Trial of the Seddons"	"Barrow, Eliza Mary|d. 191"
"uc2.ark+=13960=t1rf5nw94"	1	"Macdonald, Frederika"	"1845-1923"	"nonfic"	1			"f"		"London;Edinburgh;T. C. & "	1914	1914	"uk"			"The secret of Charlotte Bront?? followed by some reminiscences of the real Monsieur and Madame Heger"	"Heger, Z|Mme|Heger, Const"
"nyp.33433076094485"	1	"Klein, Charles"	"1867-1915."	"nonfic"	1			"u"	"NotFiction"	"New York;G.W. Dillingham "	1914	1914				"The money makers : a story of today"	
"nyp.33433074814975"	1	"White, J. J. (Joseph James)"	"1888-"	"nonfic"	1			"m"	"NotFiction"	"Chicago;The Howell Compan"	1915	1915	"us"			"Funabout Fords"	"Ford automobile"
"nyp.33433068250780"	1	"Moulton, Arthur W. (Arthur Wheelock)"	"1873-1962"	"nonfic"	1			"m"	"NotFiction"	"Boston;R. G. Badger;1916."	1916	1916	"us"		"Moulton, Arthur Wheelock"	"It came to pass"	
"uc2.ark+=13960=t4bp00d65"	2	"Turczynowicz, Laura (Blackwell) de Gozdawa"		"nonfic"	2			"u"		"New York;London;G.P. Putn"	1916	1916				"When the Prussians came to Poland;"	"IsBiographical|Poland|His"
"uc2.ark+=13960=t6vx0f650"	1	"Grant, Reginald"		"nonfic"	1			"m"		"New York;London;D. Applet"	1918	1918	"ca"			"S.O.S"	"World War, 1914-1918|Pers"
"loc.ark+=13960=t5cc1gw63"	1	"Robertson, Donald G., [from old catalog]"		"nonfic"	1					"Chicago;D. G. Robertson;c"	1918	1918				"War time laughs, verses"	"American wit and humor"
"uc2.ark+=13960=t3dz04t88"	1	"Flynn, William J"	"1861-1928"	"nonfic"	1			"m"		"New York;J.A. McCann;1919"	1919	1919	"us"			"The barrel mystery"	
